;Grasa (% P/P);Proteina (% P/P);Extracto (% P/P);Lactosa (% P/P);Celulas (/ml*1000);Bacterias (ufc/ml*1000);Inhb.;PC 1;Urea (mg/l);Probabilidad Patogeno
409;3.35;3.11;8.7;4.77;104;11;N;523;145;-1821.78
410;3.35;2.98;8.42;4.71;182;10;N;520;93;-2564.03
411;3.35;3.0;8.56;4.72;217;8;N;521;145;-2008.86
412;3.35;3.11;8.7;4.77;101;8;N;520;142;-1864.25
413;3.35;2.87;8.48;4.78;160;7;N;528;71;-2125.27
414;3.35;3.12;8.66;4.63;142;6;N;520;246;-1883.0
415;3.36;3.11;8.66;4.64;233;61;N;527;314;-1777.24
416;3.36;3.11;8.66;4.64;231;59;N;525;312;-1754.85
417;3.36;2.86;8.3;4.59;102;45;N;522;132;-1529.52
418;3.36;3.03;8.51;4.66;136;37;N;529;147;-1775.8
419;3.36;3.03;8.51;4.66;135;36;N;528;146;-1820.76
420;3.36;2.94;8.47;4.61;455;35;N;520;129;-2653.24
421;3.36;2.94;8.47;4.61;455;35;N;520;129;-2653.24
422;3.36;3.03;8.51;4.66;133;34;N;526;144;-1909.17
423;3.36;2.92;8.4;4.64;144;34;N;524;167;-1691.19
424;3.36;2.94;8.47;4.61;453;33;N;518;127;-2732.58
425;3.36;3.03;8.51;4.66;131;32;N;524;142;-1997.57
426;3.36;2.78;8.31;4.56;288;30;N;510;88;-3290.99
427;3.36;2.78;8.31;4.56;288;30;N;510;88;-3290.99
428;3.36;3.03;8.49;4.61;285;30;N;521;173;-1853.49
429;3.36;2.78;8.31;4.56;287;29;N;509;87;-3358.52
430;3.36;3.03;8.49;4.61;283;28;N;519;171;-1937.11
431;3.36;2.97;8.38;4.71;152;27;N;523;158;-1879.8
432;3.36;3.03;8.49;4.61;282;27;N;518;170;-1978.93
433;3.36;2.97;8.38;4.71;151;26;N;522;157;-1946.58
434;3.36;3.27;8.8;4.89;150;26;N;527;215;-1403.41
435;3.36;2.97;8.38;4.71;150;25;N;521;156;-2014.62
436;3.36;2.93;8.48;4.68;424;25;N;537;186;-2056.88
437;3.36;2.93;8.48;4.68;424;25;N;537;186;-2056.88
438;3.36;3.04;8.55;4.85;216;19;N;529;118;-2057.74
439;3.36;2.98;8.64;4.8;233;19;N;534;170;-1348.71
440;3.36;3.05;8.65;4.75;351;17;N;523;183;-1479.39
441;3.36;2.99;8.43;4.72;188;16;N;526;99;-2170.15
442;3.36;3.04;8.55;4.85;213;16;N;526;115;-2205.72
443;3.36;3.04;8.55;4.85;212;15;N;525;114;-2265.53
444;3.36;3.04;8.55;4.85;211;14;N;524;113;-2325.33
445;3.36;3.04;8.55;4.85;211;14;N;524;113;-2325.33
446;3.36;3.04;8.55;4.85;210;13;N;523;112;-2385.14
447;3.36;3.17;8.7;4.66;222;13;N;528;250;-1157.59
448;3.36;2.99;8.43;4.72;185;13;N;523;96;-2364.16
449;3.36;3.12;8.72;4.66;277;13;N;528;171;-1450.54
450;3.36;2.88;8.49;4.79;165;12;N;533;76;-1923.62
451;3.36;3.04;8.57;4.72;300;12;N;526;195;-1381.96
452;3.36;3.11;8.77;4.76;405;12;N;527;158;-1860.79
453;3.36;3.05;8.59;4.71;86;11;N;523;210;-1986.43
454;3.36;3.12;8.71;4.78;104;11;N;523;145;-1803.03
455;3.36;3.04;8.57;4.72;299;11;N;525;194;-1407.34
456;3.36;3.12;8.71;4.78;103;10;N;522;144;-1832.82
457;3.36;3.04;8.57;4.72;298;10;N;524;193;-1432.72
458;3.36;3.05;8.59;4.71;85;10;N;522;209;-2015.29
459;3.36;2.99;8.43;4.72;181;9;N;519;92;-2622.83
460;3.36;3.09;8.62;4.65;99;9;N;526;209;-1817.86
461;3.36;3.04;8.57;4.72;296;8;N;522;191;-1491.99
462;3.36;3.05;8.59;4.71;83;8;N;520;207;-2073.01
463;3.36;3.04;8.57;4.72;296;8;N;522;191;-1491.99
464;3.36;3.12;8.72;4.66;271;7;N;522;165;-1619.95
465;3.36;3.17;8.7;4.66;216;7;N;522;244;-1363.75
466;3.36;3.04;8.57;4.72;294;6;N;520;189;-1575.61
467;3.37;3.24;8.87;4.72;788;47;N;522;185;-2829.59
468;3.37;2.87;8.31;4.6;102;45;N;522;132;-1525.29
469;3.37;2.87;8.31;4.6;100;43;N;520;130;-1670.61
470;3.37;2.91;8.45;4.65;244;39;N;516;165;-2106.1
471;3.37;2.91;8.45;4.65;243;38;N;515;164;-2162.61
472;3.37;2.93;8.41;4.65;147;37;N;527;170;-1603.98
473;3.37;2.84;8.41;4.65;405;33;N;526;169;-1846.77
474;3.37;2.93;8.41;4.65;142;32;N;522;165;-1773.0
475;3.37;2.98;8.39;4.72;153;28;N;524;159;-1832.28
476;3.37;2.98;8.39;4.72;151;26;N;522;157;-1941.77
477;3.37;2.98;8.39;4.72;150;25;N;521;156;-2008.55
478;3.37;2.98;8.39;4.72;150;25;N;521;156;-2008.55
479;3.37;2.98;8.39;4.72;149;24;N;520;155;-2101.47
480;3.37;3.06;8.66;4.76;354;20;N;526;186;-1423.15
481;3.37;2.92;8.56;4.7;225;18;N;534;201;-1035.31
482;3.37;2.92;8.56;4.7;225;18;N;534;201;-1035.31
483;3.37;3.05;8.56;4.86;212;15;N;525;114;-2254.05
484;3.37;3.05;8.56;4.86;212;15;N;525;114;-2254.05
485;3.37;3.05;8.56;4.86;212;15;N;525;114;-2254.05
486;3.37;3.02;8.58;4.74;224;15;N;528;152;-1747.81
487;3.37;3.12;8.78;4.77;407;14;N;529;160;-1822.2
488;3.37;3.05;8.56;4.86;210;13;N;523;112;-2373.66
489;3.37;3.18;8.71;4.67;222;13;N;528;250;-1139.61
490;3.37;3.13;8.72;4.79;106;13;N;525;147;-1713.97
491;3.37;3.19;8.72;4.72;119;13;N;526;250;-1712.32
492;3.37;3.05;8.56;4.86;208;11;N;521;110;-2493.27
493;3.37;3.0;8.44;4.73;182;10;N;520;93;-2552.29
494;3.37;3.13;8.72;4.79;103;10;N;522;144;-1816.62
495;3.37;3.12;8.78;4.77;403;10;N;525;156;-1876.64
496;3.37;3.13;8.73;4.67;273;9;N;524;167;-1557.66
497;3.37;3.05;8.58;4.73;296;8;N;522;191;-1477.74
498;3.37;3.01;8.46;4.56;93;8;N;521;232;-2263.09
