Grasa (% P/P);Proteina (% P/P);Extracto (% P/P);Lactosa (% P/P);Celulas (/ml*1000);Bacterias (ufc/ml*1000);Inhb.;PC 1;Urea (mg/l);Patogeno
3.6;3.02;8.54;4.74;111;5;N;518;228;0
3.6;3.07;8.66;4.8;1032;5;N;522;141;0
3.6;3.08;8.74;4.93;144;5;N;528;115;0
3.6;3.32;8.81;4.86;115;5;N;515;248;0
3.6;3.08;8.74;4.93;143;4;N;527;114;0
3.6;3.32;8.81;4.86;114;4;N;514;247;0
3.61;3.26;8.77;4.74;285;97;N;522;267;0
3.61;3.26;8.77;4.74;285;97;N;522;267;0
3.61;3.09;8.47;4.5;165;84;N;524;145;0
3.61;3.09;8.47;4.5;163;82;N;522;143;0
3.61;3.31;8.96;4.91;444;77;N;528;105;0
3.61;3.31;8.96;4.91;441;74;N;525;102;0
3.61;3.16;8.62;4.63;485;72;N;525;172;0
3.61;3.31;8.96;4.91;439;72;N;523;100;0
3.61;3.31;8.96;4.91;438;71;N;522;99;0
3.61;3.28;8.86;4.71;987;69;N;529;237;0
3.61;2.95;8.42;4.7;177;68;N;529;157;0
3.61;3.31;8.96;4.91;434;67;N;518;95;0
3.61;2.95;8.42;4.7;175;66;N;527;155;0
3.61;2.95;8.42;4.7;174;65;N;526;154;0
3.61;2.95;8.42;4.7;171;62;N;523;151;0
3.61;3.13;8.51;4.59;157;57;N;532;370;0
3.61;2.94;8.33;4.63;275;55;N;524;153;0
3.61;2.94;8.33;4.63;275;55;N;524;153;0
3.61;3.3;8.93;4.9;506;55;N;523;136;0
3.61;3.3;8.93;4.9;505;54;N;522;135;0
3.61;3.09;8.7;4.74;382;54;N;531;204;0
3.61;3.13;8.51;4.59;153;53;N;528;366;0
3.61;3.35;8.88;4.76;931;53;N;526;222;0
3.61;3.13;8.51;4.59;153;53;N;528;366;0
3.61;3.3;8.93;4.9;504;53;N;521;134;0
3.61;3.3;8.93;4.9;504;53;N;521;134;0
3.61;3.3;8.93;4.9;504;53;N;521;134;0
3.61;3.35;8.88;4.76;930;52;N;525;221;0
3.61;3.3;8.93;4.9;502;51;N;519;132;0
3.61;3.06;8.61;4.83;361;50;N;516;79;0
3.61;2.94;8.33;4.63;269;49;N;518;147;0
3.61;3.26;8.79;4.74;926;48;N;524;240;0
3.61;3.06;8.61;4.83;359;48;N;514;77;0
3.61;3.35;8.88;4.76;926;48;N;521;217;0
3.61;3.27;8.72;4.74;289;46;N;524;311;0
3.61;3.48;9.11;4.96;787;46;N;521;184;0
3.61;3.26;8.79;4.74;924;46;N;522;238;0
3.61;3.1;8.53;4.78;340;45;N;521;173;0
3.61;3.35;8.88;4.76;923;45;N;518;214;0
3.61;3.06;8.61;4.83;356;45;N;511;74;0
3.61;3.1;8.53;4.78;340;45;N;521;173;0
3.61;3.33;8.77;4.8;311;43;N;524;246;0
3.61;3.41;8.98;4.91;788;43;N;529;253;0
3.61;3.29;8.95;4.98;210;42;N;531;162;0
3.61;3.13;8.63;4.76;168;42;N;530;153;0
3.61;3.13;8.63;4.76;167;41;N;529;152;0
3.61;3.29;8.95;4.98;209;41;N;530;161;0
3.61;3.27;8.81;4.78;319;41;N;524;271;0
3.61;3.13;8.63;4.76;166;40;N;528;151;0
3.61;3.33;8.77;4.8;308;40;N;521;243;0
3.61;3.27;8.81;4.78;318;40;N;523;270;0
3.61;3.29;8.95;4.98;208;40;N;529;160;0
3.61;3.41;8.98;4.91;785;40;N;526;250;0
3.61;3.13;8.63;4.76;165;39;N;527;150;0
3.61;3.13;8.63;4.76;165;39;N;527;150;0
3.61;3.13;8.63;4.76;165;39;N;527;150;0
3.61;3.27;8.81;4.78;317;39;N;522;269;0
3.61;3.29;8.95;4.98;207;39;N;528;159;0
3.61;3.41;8.98;4.91;784;39;N;525;249;0
3.61;2.89;8.32;4.58;396;39;N;522;161;0
3.61;3.29;8.95;4.98;206;38;N;527;158;0
3.61;2.93;8.34;4.62;279;38;N;528;156;0
3.61;3.2;8.73;4.72;280;37;N;524;295;0
3.61;3.41;8.98;4.91;782;37;N;523;247;0
3.61;2.89;8.32;4.58;394;37;N;520;159;0
3.61;3.16;8.57;4.71;147;36;N;526;187;0
3.61;3.16;8.57;4.71;147;36;N;526;187;0
3.61;3.16;8.57;4.71;147;36;N;526;187;0
3.61;3.15;8.63;4.8;154;36;N;530;186;0
3.61;3.17;8.64;4.76;152;36;N;531;219;0
3.61;3.15;8.63;4.8;154;36;N;530;186;0
3.61;3.06;8.5;4.76;100;36;N;531;147;0
3.61;2.97;8.4;4.67;266;35;N;522;183;0
3.61;3.06;8.5;4.76;99;35;N;530;146;0
3.61;3.16;8.57;4.71;146;35;N;525;186;0
3.61;3.26;8.81;4.74;292;35;N;525;263;0
3.61;3.17;8.64;4.76;151;35;N;530;218;0
3.61;3.14;8.73;4.83;146;35;N;530;128;0
3.61;3;8.55;4.76;111;34;N;525;221;0
3.61;3.03;8.56;4.81;292;34;N;514;92;0
3.61;3.17;8.64;4.76;150;34;N;529;217;0
3.61;3.14;8.73;4.83;145;34;N;529;127;0
3.61;3.28;8.74;4.78;254;34;N;521;283;0
3.61;3.08;8.65;4.89;406;34;N;527;170;0
3.61;2.92;8.23;4.55;303;33;N;521;197;0
3.61;3.28;8.74;4.78;253;33;N;520;282;0
3.61;3.15;8.63;4.8;151;33;N;527;183;0
3.61;3.28;8.74;4.78;253;33;N;520;282;0
3.61;2.92;8.23;4.55;303;33;N;521;197;0
3.61;3.27;8.79;4.91;105;33;N;532;259;0
3.61;3;8.41;4.7;377;32;N;525;121;0
3.61;3.28;8.74;4.78;252;32;N;519;281;0
3.61;3;8.41;4.7;377;32;N;525;121;0
3.61;3;8.55;4.76;109;32;N;523;219;0
3.61;3;8.41;4.7;376;31;N;524;120;0
3.61;3.14;8.73;4.83;142;31;N;526;124;0
3.61;3.21;8.84;4.91;506;31;N;530;202;0
3.61;3;8.41;4.7;375;30;N;523;119;0
3.61;3.06;8.5;4.76;93;29;N;524;140;0
3.61;3.09;8.64;4.76;143;29;N;529;196;0
3.61;3.06;8.5;4.76;92;28;N;523;139;0
3.61;2.98;8.53;4.76;101;28;N;522;153;0
3.61;3.21;8.84;4.91;503;28;N;527;199;0
3.61;2.92;8.23;4.55;298;28;N;516;192;0
3.61;3.09;8.64;4.76;142;28;N;528;195;0
3.61;2.93;8.35;4.72;248;28;N;528;218;0
3.61;2.93;8.35;4.72;248;28;N;528;218;0
3.61;3.06;8.5;4.76;91;27;N;522;138;0
3.61;3.18;8.74;4.8;161;27;N;531;182;0
3.61;3.21;8.84;4.91;502;27;N;526;198;0
3.61;3.27;8.79;4.91;99;27;N;526;253;0
3.61;3.05;8.5;4.62;136;27;N;524;146;0
3.61;3.18;8.74;4.8;160;26;N;530;181;0
3.61;3.03;8.56;4.68;349;26;N;522;141;0
3.61;3.18;8.74;4.8;160;26;N;530;181;0
3.61;3.21;8.84;4.91;501;26;N;525;197;0
3.61;3.05;8.5;4.62;134;25;N;522;144;0
3.61;3.09;8.64;4.76;139;25;N;525;192;0
3.61;1.12;8.71;4.81;110;25;N;531;150;0
3.61;3.18;8.74;4.8;159;25;N;529;180;0
3.61;3.21;8.86;4.93;234;25;N;532;104;0
3.61;3.05;8.5;4.62;133;24;N;521;143;0
3.61;3.05;8.5;4.62;133;24;N;521;143;0
3.61;2.93;8.35;4.72;244;24;N;524;214;0
3.61;3.03;8.55;4.84;120;23;N;527;160;0
3.61;3.04;8.6;4.81;126;23;N;528;182;0
3.61;3.11;8.63;4.86;193;23;N;527;214;0
3.61;3.31;8.97;4.9;444;23;N;522;163;0
3.61;3.3;8.9;5;357;23;N;529;189;0
3.61;3.18;8.74;4.8;157;23;N;527;178;0
3.61;2.93;8.45;4.77;128;23;N;525;196;0
3.61;3.19;8.64;4.61;358;22;N;523;236;0
3.61;3.03;8.55;4.84;119;22;N;526;159;0
3.61;3.16;8.76;4.91;271;22;N;542;166;0
3.61;3.31;8.97;4.9;443;22;N;521;162;0
3.61;3.06;8.73;4.76;225;22;N;526;154;0
3.61;2.82;8.27;4.56;306;21;N;529;165;0
3.61;3.04;8.6;4.81;124;21;N;526;180;0
3.61;3.09;8.64;4.76;135;21;N;521;188;0
3.61;3.07;8.68;4.85;243;21;N;532;162;0
3.61;3.22;8.85;4.92;343;21;N;529;168;0
3.61;3.16;8.8;4.94;228;21;N;537;204;0
3.61;3.19;8.64;4.61;356;20;N;521;234;0
3.61;3.1;8.76;4.84;357;20;N;526;145;0
3.61;3.16;8.76;4.91;269;20;N;540;164;0
3.61;3.32;8.93;4.84;422;20;N;521;171;0
3.61;3.19;8.64;4.61;356;20;N;521;234;0
3.61;3.16;8.8;4.94;227;20;N;536;203;0
3.61;2.94;8.28;4.6;372;19;N;528;256;0
3.61;2.9;8.5;4.68;48;19;N;536;279;0
3.61;3.31;8.85;4.77;381;19;N;523;190;0
3.61;3.32;8.93;4.84;421;19;N;520;170;0
3.61;3.32;8.93;4.84;421;19;N;520;170;0
3.61;3.16;8.8;4.94;226;19;N;535;202;0
3.61;3.31;8.97;4.9;440;19;N;518;159;0
3.61;3.22;8.85;4.92;341;19;N;527;166;0
3.61;2.8;8.19;4.55;152;18;N;525;275;0
3.61;3.19;8.64;4.61;354;18;N;519;232;0
3.61;3.07;8.68;4.85;240;18;N;529;159;0
3.61;3.13;8.8;4.86;122;18;N;524;148;0
3.61;3.13;8.8;4.86;122;18;N;524;148;0
3.61;3.11;8.63;4.86;188;18;N;522;209;0
3.61;2.8;8.19;4.52;162;18;N;531;265;0
3.61;3.04;8.55;4.83;132;17;N;527;182;0
3.61;3.32;8.93;4.84;419;17;N;518;168;0
3.61;3.32;8.93;4.84;419;17;N;518;168;0
3.61;3.33;9.01;4.87;498;17;N;523;165;0
3.61;3.33;9.01;4.87;498;17;N;523;165;0
3.61;3.1;8.76;4.84;354;17;N;523;142;0
3.61;3.04;8.55;4.83;131;16;N;526;181;0
3.61;3.23;8.89;5.05;230;16;N;531;167;0
3.61;3.35;8.97;4.87;332;16;N;523;162;0
3.61;3;8.62;4.83;137;16;N;533;125;0
3.61;3.1;8.76;4.84;353;16;N;522;141;0
3.61;3.23;8.89;5.05;230;16;N;531;167;0
3.61;2.94;8.28;4.6;368;15;N;524;252;0
3.61;3.04;8.55;4.83;130;15;N;525;180;0
3.61;3.06;8.57;4.78;636;15;N;520;121;0
3.61;3.06;8.57;4.78;636;15;N;520;121;0
3.61;3.03;8.6;4.85;121;15;N;523;279;0
3.61;3.04;8.6;4.73;160;15;N;529;216;0
3.61;3.32;8.93;4.84;417;15;N;516;166;0
3.61;3.35;8.97;4.87;331;15;N;522;161;0
3.61;3.24;8.8;4.85;93;15;N;535;241;0
3.61;3.23;8.89;5.05;229;15;N;530;166;0
3.61;3.11;8.63;4.86;185;15;N;519;206;0
3.61;3.27;8.83;4.82;117;15;N;531;232;0
3.61;3.25;8.76;4.75;233;15;N;527;245;0
3.61;2.8;8.19;4.52;158;14;N;527;261;0
3.61;2.94;8.36;4.7;255;14;N;527;236;0
3.61;3.25;8.76;4.75;232;14;N;526;244;0
3.61;3.25;8.76;4.75;232;14;N;526;244;0
3.61;3.27;8.83;4.84;98;14;N;525;176;0
3.61;3.26;8.84;4.81;423;14;N;520;203;0
3.61;3.35;8.97;4.87;330;14;N;521;160;0
3.61;3.33;9.01;4.87;495;14;N;520;162;0
3.61;3.09;8.65;4.88;119;14;N;534;148;0
3.61;3.13;8.8;4.85;215;14;N;527;108;0
3.61;3.09;8.65;4.88;119;14;N;534;148;0
3.61;3.04;8.55;4.83;128;13;N;523;178;0
3.61;3.06;8.71;4.81;147;13;N;533;143;0
3.61;3.26;8.84;4.81;422;13;N;519;202;0
3.61;3.19;8.89;4.84;237;13;N;524;171;0
3.61;3.25;8.93;4.92;218;13;N;526;150;0
3.61;3.35;8.97;4.87;329;13;N;520;159;0
3.61;3.27;8.83;4.82;115;13;N;529;230;0
3.61;3.24;8.74;4.81;121;13;N;527;228;0
3.61;3.13;8.8;4.85;214;13;N;526;107;0
3.61;3.03;8.6;4.85;119;13;N;521;277;0
3.61;3.07;8.79;4.78;173;13;N;533;212;0
3.61;3.06;7.99;0.57;240;12;N;523;237;0
3.61;2.97;8.52;4.8;102;12;N;521;283;0
3.61;3;8.62;4.83;133;12;N;529;121;0
3.61;3.25;8.7;4.8;97;12;N;525;236;0
3.61;3.09;8.75;4.94;151;12;N;535;122;0
3.61;3.09;8.75;4.94;151;12;N;535;122;0
3.61;3.24;8.76;4.8;121;12;N;523;233;0
3.61;3.24;8.76;4.8;121;12;N;523;233;0
3.61;3.27;8.83;4.82;114;12;N;528;229;0
3.61;3.27;8.83;4.84;96;12;N;523;174;0
3.61;3.34;9.01;4.9;187;12;N;526;156;0
3.61;3.35;9.06;4.97;221;12;N;531;131;0
3.61;3.23;8.89;5.05;226;12;N;527;163;0
3.61;3.11;8.78;4.9;63;12;N;524;173;0
3.61;3.34;8.87;4.9;102;12;N;529;212;0
3.61;3.38;9.06;4.92;504;12;N;520;140;0
3.61;3.07;8.79;4.78;172;12;N;532;211;0
3.61;3.24;8.92;4.9;245;12;N;528;152;0
3.61;3.29;9.05;5.04;343;12;N;530;93;0
3.61;3.26;8.89;4.89;400;12;N;533;207;0
3.61;3.29;8.92;4.9;323;12;N;527;144;0
3.61;3.25;8.95;4.87;281;12;N;531;178;0
3.61;3.06;7.99;0.57;239;11;N;522;236;0
3.61;3.12;8.48;4.53;226;11;N;526;245;0
3.61;3.03;8.7;4.84;124;11;N;538;169;0
3.61;3.06;8.71;4.81;145;11;N;531;141;0
3.61;3.06;8.72;4.87;167;11;N;534;147;0
3.61;3.11;8.78;4.9;62;11;N;523;172;0
3.61;3.11;8.78;4.9;62;11;N;523;172;0
3.61;3.27;8.83;4.82;113;11;N;527;228;0
3.61;3.27;8.83;4.82;113;11;N;527;228;0
3.61;3.34;8.87;4.9;101;11;N;528;211;0
3.61;3.19;8.89;4.85;175;11;N;528;221;0
3.61;3.25;8.93;4.92;216;11;N;524;148;0
3.61;3.31;8.99;4.89;232;11;N;522;117;0
3.61;3.34;9.01;4.9;186;11;N;525;155;0
3.61;3.35;9.06;4.97;220;11;N;530;130;0
3.61;3.24;8.74;4.81;119;11;N;525;226;0
3.61;2.95;7.93;4.48;196;11;N;526;239;0
3.61;3;8.62;4.83;132;11;N;528;120;0
3.61;3.13;8.8;4.85;212;11;N;524;105;0
3.61;3.13;8.8;4.85;212;11;N;524;105;0
3.61;2.92;8.53;4.81;55;11;N;530;260;0
3.61;3.02;8.68;4.77;250;10;N;532;93;0
3.61;3.24;8.74;4.81;118;10;N;524;225;0
3.61;3.11;8.78;4.9;61;10;N;522;171;0
3.61;3.13;8.8;4.85;211;10;N;523;104;0
3.61;3.27;8.83;4.84;94;10;N;521;172;0
3.61;3.28;8.83;4.91;81;10;N;526;160;0
3.61;3.29;8.92;4.9;321;10;N;525;142;0
3.61;3.25;8.93;4.92;215;10;N;523;147;0
3.61;3.25;8.95;4.87;279;10;N;529;176;0
3.61;3.26;8.98;4.9;237;10;N;526;121;0
3.61;3.31;8.99;4.89;231;10;N;521;116;0
3.61;3.34;9.01;4.9;185;10;N;524;154;0
3.61;3.34;8.87;4.9;100;10;N;527;210;0
3.61;3.24;8.76;4.8;119;10;N;521;231;0
3.61;3.36;9.02;5.01;403;10;N;525;156;0
3.61;3.06;8.71;4.81;144;10;N;530;140;0
3.61;3.24;8.76;4.8;119;10;N;521;231;0
3.61;3.31;8.99;4.89;231;10;N;521;116;0
3.61;3;8.62;4.83;131;10;N;527;119;0
3.61;3;8.62;4.83;131;10;N;527;119;0
3.61;3.06;8.72;4.87;166;10;N;533;146;0
3.61;3.21;8.91;4.8;281;10;N;522;180;0
3.61;3.02;8.68;4.77;249;9;N;531;92;0
3.61;3.06;8.72;4.87;165;9;N;532;145;0
3.61;3.11;8.78;4.9;60;9;N;521;170;0
3.61;3.26;8.98;4.9;236;9;N;525;120;0
3.61;3.29;9.05;5.04;340;9;N;527;90;0
3.61;3.29;9.05;5.04;340;9;N;527;90;0
3.61;3.26;8.98;4.9;236;9;N;525;120;0
3.61;3.06;8.72;4.87;165;9;N;532;145;0
3.61;3.24;8.8;4.85;87;9;N;529;235;0
3.61;3.28;8.83;4.91;80;9;N;525;159;0
3.61;3.19;8.89;4.85;173;9;N;526;219;0
3.61;3.06;7.99;0.57;237;9;N;520;234;0
3.61;3.06;8.72;4.87;165;9;N;532;145;0
3.61;3.11;8.78;4.9;60;9;N;521;170;0
3.61;3;8.34;4.51;383;9;N;523;263;0
3.61;3.12;8.48;4.53;224;9;N;524;243;0
3.61;3.03;8.55;4.75;114;8;N;521;231;0
3.61;3.08;8.67;4.81;1035;8;N;525;144;0
3.61;3.24;8.74;4.81;116;8;N;522;223;0
3.61;3.11;8.79;4.83;224;8;N;527;197;0
3.61;3.24;8.8;4.85;86;8;N;528;234;0
3.61;3.29;8.82;4.97;296;8;N;522;191;0
3.61;3.29;8.92;4.9;319;8;N;523;140;0
3.61;2.92;8.53;4.81;51;7;N;526;256;0
3.61;3.03;8.55;4.75;113;7;N;520;230;0
3.61;3.08;8.67;4.81;1034;7;N;524;143;0
3.61;3.19;8.83;4.81;228;7;N;522;163;0
3.61;3.28;8.83;4.91;78;7;N;523;157;0
3.61;3.29;8.82;4.82;112;7;N;523;223;0
3.61;3.25;8.93;4.92;212;7;N;520;144;0
3.61;2.92;8.53;4.81;50;6;N;525;255;0
3.61;3.25;8.93;4.92;211;6;N;519;143;0
3.61;3.27;8.83;4.84;90;6;N;517;168;0
3.61;3.08;8.67;4.81;1033;6;N;523;142;0
3.61;3.28;8.83;4.91;77;6;N;522;156;0
3.61;3.3;9;5.01;323;6;N;520;155;0
3.61;3.19;8.83;4.81;226;5;N;520;161;0
3.61;3.09;8.75;4.94;143;4;N;527;114;0
3.62;3.27;8.78;4.75;286;98;N;523;268;0
3.62;3.27;8.78;4.75;285;97;N;522;267;0
3.62;3.27;8.78;4.75;285;97;N;522;267;0
3.62;3.27;8.78;4.75;284;96;N;521;266;0
3.62;3.27;8.78;4.75;283;95;N;520;265;0
3.62;3.27;8.78;4.75;283;95;N;520;265;0
3.62;3.32;8.97;4.92;442;75;N;526;103;0
3.62;3.32;8.97;4.92;440;73;N;524;101;0
3.62;2.96;8.43;4.71;180;71;N;532;160;0
3.62;3.32;8.97;4.92;437;70;N;521;98;0
3.62;3.17;8.63;4.64;483;70;N;523;170;0
3.62;3.06;8.69;4.8;162;67;N;526;180;0
3.62;3.06;8.69;4.8;160;65;N;524;178;0
3.62;3.17;8.63;4.64;478;65;N;518;165;0
3.62;2.96;8.43;4.71;173;64;N;525;153;0
3.62;3.06;8.69;4.8;159;64;N;523;177;0
3.62;3.29;8.87;4.72;982;64;N;524;232;0
3.62;3.06;8.69;4.8;158;63;N;522;176;0
3.62;2.96;8.43;4.71;172;63;N;524;152;0
3.62;2.95;8.34;4.64;275;55;N;524;153;0
3.62;3.31;8.94;4.91;506;55;N;523;136;0
3.62;3.31;8.94;4.91;505;54;N;522;135;0
3.62;3.37;8.92;4.9;226;54;N;520;307;0
3.62;3.1;8.71;4.75;380;52;N;529;202;0
3.62;3.14;8.52;4.6;152;52;N;527;365;0
3.62;3.36;8.89;4.77;930;52;N;525;221;0
3.62;3.14;8.52;4.6;152;52;N;527;365;0
3.62;3.31;8.94;4.91;502;51;N;519;132;0
3.62;3.36;8.84;4.84;288;51;N;520;293;0
3.62;2.95;8.34;4.64;270;50;N;519;148;0
3.62;3.36;8.84;4.84;285;48;N;517;290;0
3.62;3.36;8.89;4.77;926;48;N;521;217;0
3.62;3.27;8.8;4.75;926;48;N;524;240;0
3.62;3.36;8.89;4.77;925;47;N;520;216;0
3.62;3.36;8.89;4.77;925;47;N;520;216;0
3.62;2.99;8.37;4.71;300;46;N;507;127;0
3.62;2.99;8.37;4.71;300;46;N;507;127;0
3.62;2.99;8.37;4.71;300;46;N;507;127;0
3.62;3.49;9.12;4.97;787;46;N;521;184;0
3.62;3.36;8.89;4.77;924;46;N;519;215;0
3.62;2.99;8.37;4.71;299;45;N;506;126;0
3.62;3.11;8.54;4.79;340;45;N;521;173;0
3.62;2.99;8.37;4.71;299;45;N;506;126;0
3.62;3.34;8.78;4.81;312;44;N;525;247;0
3.62;3.27;8.8;4.75;921;43;N;519;235;0
3.62;3.34;8.78;4.81;310;42;N;523;245;0
3.62;3.42;8.99;4.92;786;41;N;527;251;0
3.62;3.34;8.78;4.81;309;41;N;522;244;0
3.62;3.14;8.64;4.77;166;40;N;528;151;0
3.62;3.28;8.82;4.79;318;40;N;523;270;0
3.62;2.98;8.41;4.68;271;40;N;527;188;0
3.62;2.98;8.41;4.68;270;39;N;526;187;0
3.62;3.3;8.96;4.99;207;39;N;528;159;0
3.62;3.3;8.96;4.99;207;39;N;528;159;0
3.62;2.9;8.33;4.59;395;38;N;521;160;0
3.62;3.28;8.82;4.79;316;38;N;521;268;0
3.62;3.17;8.58;4.72;149;38;N;528;189;0
3.62;3.17;8.58;4.72;149;38;N;528;189;0
3.62;3.28;8.82;4.79;316;38;N;521;268;0
3.62;3.21;8.74;4.73;281;38;N;525;296;0
3.62;2.9;8.33;4.59;394;37;N;520;159;0
3.62;3.17;8.58;4.72;148;37;N;527;188;0
3.62;3.17;8.58;4.72;148;37;N;527;188;0
3.62;3.3;8.96;4.99;205;37;N;526;157;0
3.62;3.42;8.99;4.92;782;37;N;523;247;0
3.62;3.18;8.65;4.77;153;37;N;532;220;0
3.62;3.26;8.89;4.77;704;37;N;533;177;0
3.62;3.07;8.47;4.66;391;36;N;522;222;0
3.62;3.17;8.58;4.72;147;36;N;526;187;0
3.62;3.28;8.82;4.79;314;36;N;519;266;0
3.62;3.18;8.65;4.77;152;36;N;531;219;0
3.62;2.9;8.33;4.59;393;36;N;519;158;0
3.62;3.15;8.74;4.84;146;35;N;530;128;0
3.62;3.17;8.58;4.72;146;35;N;525;186;0
3.62;3.15;8.74;4.84;145;34;N;529;127;0
3.62;3.26;8.89;4.77;701;34;N;530;174;0
3.62;3.31;8.73;4.77;294;34;N;519;304;0
3.62;2.99;8.54;4.77;107;34;N;528;159;0
3.62;3.01;8.42;4.71;378;33;N;526;122;0
3.62;3.27;8.82;4.75;290;33;N;523;261;0
3.62;3.29;8.75;4.79;252;32;N;519;281;0
3.62;3.24;8.79;4.74;248;32;N;521;266;0
3.62;3.07;8.51;4.77;96;32;N;527;143;0
3.62;3.01;8.42;4.71;377;32;N;525;121;0
3.62;3.29;8.75;4.79;252;32;N;519;281;0
3.62;3.01;8.56;4.77;109;32;N;523;219;0
3.62;3.07;8.51;4.77;95;31;N;526;142;0
3.62;3.01;8.56;4.77;108;31;N;522;218;0
3.62;3.28;8.8;4.92;103;31;N;530;257;0
3.62;3.22;8.85;4.92;506;31;N;530;202;0
3.62;3.04;8.57;4.69;353;30;N;526;145;0
3.62;3.22;8.85;4.92;505;30;N;529;201;0
3.62;3.24;8.79;4.74;246;30;N;519;264;0
3.62;3.29;8.75;4.87;284;29;N;520;172;0
3.62;3.19;8.75;4.81;163;29;N;533;184;0
3.62;3.22;8.85;4.92;504;29;N;528;200;0
3.62;3.22;8.85;4.92;504;29;N;528;200;0
3.62;3.01;8.42;4.71;374;29;N;522;118;0
3.62;3.02;8.48;4.64;526;29;N;520;130;0
3.62;3.07;8.51;4.77;93;29;N;524;140;0
3.62;2.94;8.36;4.73;248;28;N;528;218;0
3.62;3.1;8.65;4.77;142;28;N;528;195;0
3.62;2.94;8.36;4.73;248;28;N;528;218;0
3.62;2.94;8.46;4.78;132;27;N;529;200;0
3.62;3.19;8.75;4.81;161;27;N;531;182;0
3.62;3.29;8.75;4.87;282;27;N;518;170;0
3.62;3.07;8.51;4.77;91;27;N;522;138;0
3.62;3.01;8.56;4.77;104;27;N;518;214;0
3.62;3.19;8.75;4.81;161;27;N;531;182;0
3.62;3.23;8.82;4.72;664;27;N;525;190;0
3.62;2.94;8.36;4.73;246;26;N;526;216;0
3.62;2.94;8.36;4.73;246;26;N;526;216;0
3.62;3.1;8.65;4.77;140;26;N;526;193;0
3.62;3.19;8.75;4.81;160;26;N;530;181;0
3.62;3.23;8.86;4.93;348;26;N;534;173;0
3.62;2.94;8.46;4.78;131;26;N;528;199;0
3.62;3.1;8.65;4.77;140;26;N;526;193;0
3.62;3.19;8.75;4.81;159;25;N;529;180;0
3.62;1.13;8.72;4.82;110;25;N;531;150;0
3.62;3.01;8.42;4.71;370;25;N;518;114;0
3.62;2.94;8.46;4.78;130;25;N;527;198;0
3.62;3.06;8.51;4.63;133;24;N;521;143;0
3.62;3.19;8.75;4.81;158;24;N;528;179;0
3.62;3.22;8.87;4.94;233;24;N;531;103;0
3.62;3.23;8.86;4.93;346;24;N;532;171;0
3.62;3.23;8.63;4.64;451;24;N;521;253;0
3.62;3.4;9.02;4.93;296;23;N;523;192;0
3.62;3.05;8.61;4.82;125;22;N;527;181;0
3.62;3.14;8.81;4.87;126;22;N;528;152;0
3.62;3.23;8.86;4.93;344;22;N;530;169;0
3.62;3.31;8.91;5.01;356;22;N;528;188;0
3.62;1.19;8.84;4.92;188;22;N;526;178;0
3.62;3.27;8.85;4.82;431;22;N;528;211;0
3.62;3.11;8.65;4.75;170;21;N;526;165;0
3.62;3.17;8.81;4.95;228;21;N;537;204;0
3.62;3.27;8.85;4.82;430;21;N;527;210;0
3.62;3.11;8.65;4.75;170;21;N;526;165;0
3.62;3.07;8.63;4.63;96;21;N;524;263;0
3.62;2.83;8.28;4.57;305;20;N;528;164;0
3.62;2.95;8.29;4.61;373;20;N;529;257;0
3.62;3.05;8.61;4.82;123;20;N;525;179;0
3.62;3.05;8.61;4.82;123;20;N;525;179;0
3.62;3.12;8.64;4.87;190;20;N;524;211;0
3.62;3.12;8.64;4.87;190;20;N;524;211;0
3.62;3.2;8.65;4.62;356;20;N;521;234;0
3.62;3.23;8.86;4.93;342;20;N;528;167;0
3.62;2.81;8.2;4.56;154;20;N;527;277;0
3.62;3.33;8.94;4.85;422;20;N;521;171;0
3.62;2.95;8.29;4.61;373;20;N;529;257;0
3.62;3.11;8.77;4.85;357;20;N;526;145;0
3.62;3.17;8.77;4.92;269;20;N;540;164;0
3.62;3.23;8.86;4.93;342;20;N;528;167;0
3.62;3.32;8.86;4.78;382;20;N;524;191;0
3.62;2.89;8.24;4.62;153;19;N;523;297;0
3.62;3.04;8.56;4.85;116;19;N;523;156;0
3.62;3.04;8.56;4.85;116;19;N;523;156;0
3.62;3.11;8.77;4.85;356;19;N;525;144;0
3.62;3.23;8.86;4.93;341;19;N;527;166;0
3.62;3.33;8.94;4.85;421;19;N;520;170;0
3.62;3.05;8.61;4.82;122;19;N;524;178;0
3.62;2.89;8.24;4.62;153;19;N;523;297;0
3.62;3.36;8.98;4.88;335;19;N;526;165;0
3.62;3.32;8.86;4.78;381;19;N;523;190;0
3.62;2.95;8.29;4.61;371;18;N;527;255;0
3.62;3.07;8.58;4.79;639;18;N;523;124;0
3.62;3.32;8.86;4.78;380;18;N;522;189;0
3.62;3.32;8.86;4.78;380;18;N;522;189;0
3.62;1.19;8.84;4.92;184;18;N;522;174;0
3.62;3.34;8.94;4.74;355;18;N;527;148;0
3.62;2.81;8.26;4.57;270;18;N;529;211;0
3.62;3.04;8.61;4.86;123;17;N;525;281;0
3.62;3.08;8.69;4.86;239;17;N;528;158;0
3.62;3.17;8.77;4.92;266;17;N;537;161;0
3.62;3.23;8.86;4.93;339;17;N;525;164;0
3.62;3.07;8.58;4.79;638;17;N;522;123;0
3.62;3.34;9.02;4.88;498;17;N;523;165;0
3.62;3.36;8.98;4.88;333;17;N;524;163;0
3.62;2.81;8.2;4.53;160;16;N;529;263;0
